model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost,0.8725,accuracy,0.0014450550079345703,1.130084753036499,0.0014450550079345703,1.130084753036499,1,True,5
WeightedEnsemble_L2,0.8725,accuracy,0.002248525619506836,1.2071778774261475,0.0008034706115722656,0.07709312438964844,2,True,12
LightGBM,0.87,accuracy,0.006050825119018555,0.7353134155273438,0.006050825119018555,0.7353134155273438,1,True,2
NeuralNetFastAI,0.87,accuracy,0.010615110397338867,7.703925609588623,0.010615110397338867,7.703925609588623,1,True,8
NeuralNetTorch,0.8675,accuracy,0.007232189178466797,12.667251825332642,0.007232189178466797,12.667251825332642,1,True,10
LightGBMLarge,0.865,accuracy,0.005686759948730469,1.402395248413086,0.005686759948730469,1.402395248413086,1,True,11
LightGBMXT,0.8625,accuracy,0.0026836395263671875,0.5786035060882568,0.0026836395263671875,0.5786035060882568,1,True,1
XGBoost,0.86125,accuracy,0.004540681838989258,0.3491978645324707,0.004540681838989258,0.3491978645324707,1,True,9
ExtraTreesGini,0.86125,accuracy,0.07574605941772461,0.906296968460083,0.07574605941772461,0.906296968460083,1,True,6
RandomForestEntr,0.86,accuracy,0.044516801834106445,0.8887917995452881,0.044516801834106445,0.8887917995452881,1,True,4
ExtraTreesEntr,0.8575,accuracy,0.06652450561523438,0.8020422458648682,0.06652450561523438,0.8020422458648682,1,True,7
RandomForestGini,0.8525,accuracy,0.044095516204833984,0.7916631698608398,0.044095516204833984,0.7916631698608398,1,True,3
